"District_Type";"Municipality_Name";"Area_Code";"Population_Total";"Pop_Age_0_15";"Pop_Age_15_25";"Pop_Age_25_45";"Pop_Age_45_65";"Pop_Age_65_Plus";"Avg_Household_Size";"Avg_Property_Value_1000EUR";"Pct_Unoccupied_Homes";"Pct_Owner_Occupied";"Pct_Rental";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min";"Urbanization_Level"
"Walvisbuurt";"Amsterdam                               ";"BU0363NA03";1370;230;160;365;405;205;2,3;496;3;69;31;;;;;;;;;2
"Twiske-West";"Amsterdam                               ";"BU0363NA04";2525;445;300;570;790;410;2,4;554;2;66;34;;;;;;;;;2
"Oostzanerdijk";"Amsterdam                               ";"BU0363NA05";340;70;25;95;95;50;2,3;573;7;73;27;;;;;;;;;2
"Circus/Kermisbuurt";"Amsterdam                               ";"BU0363NA06";1330;180;130;440;390;190;2;385;2;56;44;;;;;;;;;2
"Molenwijk";"Amsterdam                               ";"BU0363NA07";3045;570;450;805;690;530;2,1;306;5;15;85;;;;;;;;;2
"Noordelijke IJ-oevers-West";"Amsterdam                               ";"WK0363NB  ";10435;1015;1210;6075;1570;565;1,6;471;4;22;78;;;;;;;;;1
"Cornelis Douwesterrein-West";"Amsterdam                               ";"BU0363NB01";0;0;0;5;0;0;2;;;;;;;;;;;;;4
"Cornelis Douwesterrein-Oost";"Amsterdam                               ";"BU0363NB02";0;0;0;5;0;0;2;;;;;;;;;;;;;2
"NDSM terrein";"Amsterdam                               ";"BU0363NB03";3805;135;645;2755;240;40;1,3;327;4;4;96;;;;;;;;;2
"Buiksloterham-Zuid";"Amsterdam                               ";"BU0363NB04";1725;280;115;940;305;80;1,8;498;4;28;72;;;;;;;;;1
"Buiksloterham-Noord";"Amsterdam                               ";"BU0363NB05";1525;320;130;630;370;80;2,1;599;8;63;37;;;;;;;;;1
"Klaprozenbuurt";"Amsterdam                               ";"BU0363NB06";125;10;15;35;35;25;1,7;;;;;;;;;;;;;1
"Overhoeks";"Amsterdam                               ";"BU0363NB07";3245;270;305;1705;620;345;1,7;611;4;29;71;;;;;;;;;1
"Tuindorp Oostzaan";"Amsterdam                               ";"WK0363NC  ";12135;2250;1225;3465;3105;2090;2,1;441;3;33;67;;;;;;;;;1
