"District_Type";"Municipality_Name";"Area_Code";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min"
"Bretten-West";"Amsterdam                               ";"BU0363FA06";;;;;;;;
"Bretten-Oost";"Amsterdam                               ";"BU0363FA07";;;;;;;;
"Sloterdijk Stationskwartier";"Amsterdam                               ";"BU0363FA08";;;;;79,3;3,4;14,4;18,2
"Geuzenveld";"Amsterdam                               ";"WK0363FB  ";2860;32,1;23,7;30,7;49,9;13,4;11,8;23,4
"Osdorper Binnenpolder";"Amsterdam                               ";"BU0363FB01";;;;;;;;
"De Eendracht";"Amsterdam                               ";"BU0363FB02";500;;;;37,8;20,3;4,9;9,6
"Ruys de Beerenbrouckbuurt";"Amsterdam                               ";"BU0363FB03";830;30,8;22,3;;54;12,4;12,7;26,2
"Eendrachtspark";"Amsterdam                               ";"BU0363FB04";;;;;58,1;8,1;26,3;35
"Van Tijenbuurt";"Amsterdam                               ";"BU0363FB05";430;;24,3;;44,7;19,6;8;16,6
"Dudokbuurt";"Amsterdam                               ";"BU0363FB06";390;;21,7;;55,2;9,9;14,2;30,9
"Bakemabuurt";"Amsterdam                               ";"BU0363FB07";510;;24;;45,2;10,8;14,2;24,2
"Wegener Sleeswijkbuurt";"Amsterdam                               ";"BU0363FB08";140;;;;57,8;8,9;13,6;27,6
"Slotermeer-West";"Amsterdam                               ";"WK0363FC  ";1660;29,6;22,8;28,1;60;9,3;15,1;27,5
"Jan de Louterbuurt";"Amsterdam                               ";"BU0363FC01";700;32,2;25,4;;58,1;10;13,1;22
"Lodewijk van Deysselbuurt";"Amsterdam                               ";"BU0363FC02";380;26,5;19,9;;61,2;7,9;17,7;31,5
"Confuciusbuurt";"Amsterdam                               ";"BU0363FC03";610;30;22,9;;61;9,6;14,7;29,3
"Slotermeer-Noordoost";"Amsterdam                               ";"WK0363FD  ";1780;31,9;24,3;29,7;56,6;10,5;14,9;26,2
"Arondeusbuurt";"Amsterdam                               ";"BU0363FD01";380;;21;;59,7;10;16,1;29,8
"Coronelbuurt";"Amsterdam                               ";"BU0363FD02";490;;;;41,3;20,4;6,1;7,1
"Meerwaldtbuurt";"Amsterdam                               ";"BU0363FD03";260;;;;67,3;7,7;19,6;36,5
"Dobbebuurt";"Amsterdam                               ";"BU0363FD04";670;;24,2;;54,3;7,6;15,1;25,8
"Slotermeer-Zuidoost";"Amsterdam                               ";"WK0363FE  ";1890;34,7;27,9;30,5;61,4;10,4;13,5;26,4
"Dichtersbuurt";"Amsterdam                               ";"BU0363FE01";;;;;74,4;4,9;19,1;37,7
"Louis Couperusbuurt";"Amsterdam                               ";"BU0363FE02";590;;;;71;4,3;16,1;32,3
"Noordoever Sloterplas";"Amsterdam                               ";"BU0363FE03";1150;39,9;32,3;;49,8;16,8;9,4;17,9
"Sloterpark";"Amsterdam                               ";"BU0363FE04";;;;;;;;
"Lutkemeer/Ookmeer";"Amsterdam                               ";"WK0363FF  ";260;;;;43,9;25,1;9,5;17,4
"Osdorper Bovenpolder";"Amsterdam                               ";"BU0363FF01";160;;;;42,7;26,2;7,9;17,2
"Ookmeer";"Amsterdam                               ";"BU0363FF02";;;;;;;;
"Bedrijvenpark Lutkemeer";"Amsterdam                               ";"BU0363FF03";;;;;;;;
"De Aker";"Amsterdam                               ";"WK0363FG  ";3670;42,8;33,8;39,9;35,8;28,2;6,3;12,1
"Middelveldsche Akerpolder";"Amsterdam                               ";"BU0363FG01";730;37,7;28,2;;43,2;16,9;7,8;14,3
"De Aker-West";"Amsterdam                               ";"BU0363FG02";1430;43,3;34,9;;35,2;30,1;6,7;12,6
"De Aker-Oost";"Amsterdam                               ";"BU0363FG03";1560;45,7;36,7;;31;34,9;4,9;10
"De Punt";"Amsterdam                               ";"WK0363FH  ";1160;31,9;25,2;30,2;54,3;10,8;10,2;20,9
"Bedrijvencentrum Osdorp";"Amsterdam                               ";"BU0363FH01";;;;;;;;
"Dijkgraafpleinbuurt";"Amsterdam                               ";"BU0363FH02";1160;31,9;25,1;30,2;54,4;10,8;10,2;20,9
"Osdorp-Midden";"Amsterdam                               ";"WK0363FJ  ";2870;34,6;26,4;31,4;52,9;13,4;12,1;23,7
"Reimerswaal";"Amsterdam                               ";"BU0363FJ01";260;;21;;62,9;7,7;16,4;34,3
"Botteskerkbuurt";"Amsterdam                               ";"BU0363FJ02";460;;24,1;;56,5;11,6;14,2;27,3
"Zuidwestkwadrant-Noord";"Amsterdam                               ";"BU0363FJ03";790;;24,7;;56,2;12;11,9;26
"Zuidwestkwadrant-Zuid";"Amsterdam                               ";"BU0363FJ04";1720;39,4;30,9;34,6;45,1;17,5;9,2;16
"Osdorp-Oost";"Amsterdam                               ";"WK0363FK  ";4530;34,6;27,8;31,1;57,3;10,5;11;23,5
"Wildeman";"Amsterdam                               ";"BU0363FK01";660;26,9;20,8;;69,2;5;16,7;36,2
"Meer en Oever";"Amsterdam                               ";"BU0363FK02";1180;42,8;34,8;;40,6;16,4;7,1;14,8
"Osdorpplein e.o.";"Amsterdam                               ";"BU0363FK03";1170;37,5;29,8;;50;11,1;7,7;15,9
